feature,scores
3-gene_classifier_subtype,0.286526290471692
acvrl1_mut,0.034362485390263986
adgra2_mut,0.023570804331413196
afdn_mut,0.005990183425452901
aff2_mut,0.19323668584083037
age_at_diagnosis,0.008490241481884868
agmo_mut,0.048456195203254504
agtr2_mut,0.11022336154255973
ahnak2_mut,0.020083598490216247
ahnak_mut,0.00797063820874878
akap9_mut,0.05374901303927713
akt1_mut,0.0923695356278492
akt2_mut,0.054565340595550765
alk_mut,0.041917551600170154
apc_mut,0.132907975558348
arid1a_mut,0.06508927777958566
arid1b_mut,0.039906467652219446
arid2_mut,0.028254190349364616
arid5b_mut,0.07184202782290165
asxl1_mut,0.09670029197537018
asxl2_mut,0.16216246697703912
atr_mut,0.013158387620416894
bap1_mut,0.1207020405907894
bcas3_mut,0.0683160283081193
birc6_mut,0.030362828592286773
braf_mut,0.05795811429904881
brca1_mut,0.09579377722907106
brca2_mut,0.06445404611608654
brip1_mut,0.06470398089598227
cacna2d3_mut,0.032059948109474254
cancer_type,0.03707487308438911
cancer_type_detailed,0.10764896504318247
casp8_mut,0.06352429603273703
cbfb_mut,0.008732859974386659
ccnd3_mut,0.16565067563517508
cdh1_mut,0.027502486451034095
cdkn1b_mut,0.054619841507274426
cdkn2a_mut,0.02974542871528158
cellularity,0.13416938542884063
chd1_mut,0.07457206244676974
chek2_mut,0.04074496534902947
chemotherapy,0.049920539712570204
clk3_mut,0.02438050070993391
clrn2_mut,0.012616635369622249
cohort,0.0072740255035342325
col12a1_mut,0.037545945508227874
col22a1_mut,0.007919311872741405
col6a3_mut,0.0732610627973867
ctcf_mut,0.02582528597880571
ctnna1_mut,0.03225588877981208
ctnna3_mut,0.05947299353743988
dcaf4l2_mut,0.060881342918166666
dnah11_mut,0.052292080705451306
dnah2_mut,0.019642953098556383
dnah5_mut,0.03296416908425112
dtwd2_mut,0.03854299633776026
egfr_mut,0.010466405142553767
ep300_mut,0.04793373763274038
er_status,0.015561539568283489
er_status_measured_by_ihc,0.05879164322601253
erbb2_mut,0.08782698641815348
erbb3_mut,0.024553963187049707
erbb4_mut,0.0644489419117947
fam20c_mut,0.08029808627355961
fanca_mut,0.11943681975635959
fancd2_mut,0.007595433315193297
fbxw7_mut,0.01639183111495864
flt3_mut,0.05765288530688505
foxo1_mut,0.012600259093534516
foxo3_mut,0.026749129645895542
foxp1_mut,0.09115490533842655
frmd3_mut,0.05719883558858567
gata3_mut,0.13967747004210437
gh1_mut,0.05249999223285854
gldc_mut,0.046169693109359033
gpr32_mut,0.033964663212526634
gps2_mut,0.012679367813035691
hdac9_mut,0.01248521967570316
her2_status,0.008781362209862798
her2_status_measured_by_snp6,0.07419223382512434
herc2_mut,0.020672473425105052
hist1h2bc_mut,0.024411453737379556
hormone_therapy,0.06514474036375617
hras_mut,0.030273958295738992
inferred_menopausal_state,0.01064586769353252
integrative_cluster,0.5494779711612017
jak1_mut,0.06953798243378355
kdm3a_mut,0.011976614373983153
kdm6a_mut,0.020569348379008638
klrg1_mut,0.036421789003876104
kmt2c_mut,0.037949727092133574
kmt2d_mut,0.05022996788840864
kras_mut,0.017448705587246337
l1cam_mut,0.031687650536006695
lama2_mut,0.08338170936695986
lamb3_mut,0.0394795323262029
large1_mut,0.06739411715279131
ldlrap1_mut,0.05182329389849458
lifr_mut,0.07733965769631738
lipi_mut,0.057065030415159194
lymph_nodes_examined_positive,0.014943938412177274
magea8_mut,0.05391308003412924
map2k4_mut,0.008456000499863945
map3k10_mut,0.07482823538677896
map3k13_mut,0.020521103661883207
map3k1_mut,0.07807047045386624
mbl2_mut,0.024650343130399904
men1_mut,0.12383564156543415
mtap_mut,0.0314067293449523
muc16_mut,0.02711036976156113
mutation_count,0.0026238146957276026
myh9_mut,0.07442821258728022
myo1a_mut,0.031058763545093317
myo3a_mut,0.19802510790541092
ncoa3_mut,0.10362807626759622
ncor1_mut,0.005018884561505854
ncor2_mut,0.06155370879250634
ndfip1_mut,0.02298259642275038
nek1_mut,0.0629793814767564
neoplasm_histologic_grade,0.057211389525952686
nf1_mut,0.02243719674271211
nf2_mut,0.03601739419410581
notch1_mut,0.006864815783109896
nottingham_prognostic_index,0.05381601334881624
npnt_mut,0.12732406725639672
nr2f1_mut,0.07882329728180701
nr3c1_mut,0.01769752970986608
nras_mut,0.05309906766304005
nrg3_mut,0.07743040403680859
nt5e_mut,0.04436142925498838
oncotree_code,0.17484248231520044
or6a2_mut,0.01897497027084498
palld_mut,0.07830696547531364
pam50_+_claudin-low_subtype,0.4205611811515074
pbrm1_mut,0.06671144605536913
pde4dip_mut,0.004347296060842324
pik3ca_mut,0.052124003831246095
pik3r1_mut,0.09707541804942707
ppp2cb_mut,0.04677264851402956
ppp2r2a_mut,0.06961594122514526
pr_status,0.061721670795800564
primary_tumor_laterality,0.22406939446102447
prkacg_mut,0.028087832019052145
prkce_mut,0.05961559675539576
prkcq_mut,0.02028599494465801
prkcz_mut,0.03237506391939227
prkg1_mut,0.015090834096504894
prps2_mut,0.050938414821206715
prr16_mut,0.01617812975129899
pten_mut,0.012584425084222868
ptpn22_mut,0.03712303515357653
ptprd_mut,0.046537837903510376
ptprm_mut,0.04907850161731805
radio_therapy,0.028123231146955616
rasgef1b_mut,0.0880675898974443
rb1_mut,0.03506871269222896
ros1_mut,0.008410653610821606
rpgr_mut,0.14413935678110432
runx1_mut,0.03165666189621028
ryr2_mut,0.09709424397837806
sbno1_mut,0.00928901207980831
setd1a_mut,0.030080630094731626
setd2_mut,0.05128170604205189
setdb1_mut,0.10236671102526292
sf3b1_mut,0.10633140868711304
sgcd_mut,0.025339054726333972
shank2_mut,0.02307643366368392
siah1_mut,0.022136585799591935
sik1_mut,0.04376166195540336
sik2_mut,0.011415113175707413
smad2_mut,0.013307353557282589
smad4_mut,0.024610164026046866
smarcb1_mut,0.02057538203913218
smarcc1_mut,0.03249565565395982
smarcc2_mut,0.032639907497951356
smarcd1_mut,0.04022889182128413
spaca1_mut,0.02661407062564008
stab2_mut,0.027573457406176952
stk11_mut,0.0674449419513581
stmn2_mut,0.03139214708044623
syne1_mut,0.008672534989263507
taf1_mut,0.030640109404827094
taf4b_mut,0.03552948200473771
tbl1xr1_mut,0.020787680907132008
tbx3_mut,0.08685374164443985
tg_mut,0.04026493965017635
thada_mut,0.03714878561462348
thsd7a_mut,0.10498116382860151
tp53_mut,0.05127253643681357
ttyh1_mut,0.06017931796119035
tumor_other_histologic_subtype,0.3477037729633856
tumor_size,0.015182939372544101
tumor_stage,0.046603290424177636
type_of_breast_surgery,0.10865509907605492
ubr5_mut,0.08526342218632944
ush2a_mut,0.08208207465789413
usp28_mut,0.060733529040148705
usp9x_mut,0.03789404473911029
utrn_mut,0.009761326846253684
zfp36l1_mut,0.18357976861369668
